category,brand,product_name,discounted_price,original_price,image_url
fruits vegetables,Fresho,Pomegranate - Premium,₹173,₹239.73,"https://www.bigbasket.com/media/uploads/p/m/40079955_4-fresho-pomegranate-premium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Amla (Loose),₹152,₹208.22,"https://www.bigbasket.com/media/uploads/p/m/10000332_15-fresho-amla.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Baby Corn - Peeled,₹324,₹443.84,"https://www.bigbasket.com/media/uploads/p/m/10000322_15-fresho-baby-corn-peeled.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Beans - French, Ring (Loose)",₹148,₹232.88,"https://www.bigbasket.com/media/uploads/p/m/10000042_42-fresho-beans-french-ring.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Apple - Pink Lady,₹199,₹276.71,"https://www.bigbasket.com/media/uploads/p/m/40128384_4-fresho-apple-pink-lady.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Red Delicious, Economy",₹113,₹154.79,"https://www.bigbasket.com/media/uploads/p/m/40075384_12-fresho-apple-red-delicious-economy.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Dates - Kimia, with Seed",₹230,₹315.07,"https://www.bigbasket.com/media/uploads/p/m/20000727_13-fresho-dates-kimia-with-seed.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Red Delicious / Washington, Premium",₹352.01,₹482.2,"https://www.bigbasket.com/media/uploads/p/m/1203780_1-fresho-apple-red-delicious-washington-premium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Frozen Sweet Corn,₹149,₹200,"https://www.bigbasket.com/media/uploads/p/m/40208830_10-fresho-frozen-sweet-corn.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Ladies' Fingers - Organically Grown (Loose),₹19.5,₹31.51,"https://www.bigbasket.com/media/uploads/p/m/40023470_5-fresho-ladies-finger-organically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Mosambi (Loose),₹71.5,₹108.22,"https://www.bigbasket.com/media/uploads/p/m/10000191_19-fresho-mosambi.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Yam - Diced,₹48.91,₹67,"https://www.bigbasket.com/media/uploads/p/m/40005846_6-fresho-yam-diced.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Coconut - Diced,₹40,₹54.79,"https://www.bigbasket.com/media/uploads/p/m/40019379_5-fresho-coconut-diced.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce - Romaine,₹69,₹94.52,"https://www.bigbasket.com/media/uploads/p/m/40016095_2-fresho-lettuce-romaine.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Tender Jackfruit,₹75,₹102.74,"https://www.bigbasket.com/media/uploads/p/m/20001029_9-fresho-tender-jackfruit.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Cut Cauliflower, Washed",₹50,₹68.49,"https://www.bigbasket.com/media/uploads/p/m/40005790_8-fresho-cut-cauliflower-washed.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Beans - Diced,₹126,₹172.6,"https://www.bigbasket.com/media/uploads/p/m/40005767_13-fresho-beans-diced.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Guava - Thai,₹52,₹73.97,"https://www.bigbasket.com/media/uploads/p/m/30002322_11-fresho-guava-thai.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Red Cabbage - Medium,₹94,₹128.77,"https://www.bigbasket.com/media/uploads/p/m/40215110_1-fresho-red-cabbage-medium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Baby Orange - Nagpur,₹131,₹179.45,"https://www.bigbasket.com/media/uploads/p/m/40164406_6-fresho-baby-orange-nagpur.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Carrot Strips and Beans Strip,₹74,₹101.37,"https://www.bigbasket.com/media/uploads/p/m/40010013_3-fresho-carrot-strips-and-beans-strip.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Broccoli - Florets,₹76,₹104.11,"https://www.bigbasket.com/media/uploads/p/m/40016101_3-fresho-broccoli-florets.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Sugarcane - Diced,₹36,₹49.32,"https://www.bigbasket.com/media/uploads/p/m/40018977_9-fresho-sugarcane-diced.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Sun Melon,₹87,₹119.18,"https://www.bigbasket.com/media/uploads/p/m/30007325_4-fresho-sun-melon.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Romaine Lettuce  - Hydroponically Grown With Live Roots,₹63,₹86.3,"https://www.bigbasket.com/media/uploads/p/m/40198821_1-fresho-romaine-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce - Red,₹24,₹32.88,"https://www.bigbasket.com/media/uploads/p/m/40004345_10-fresho-lettuce-red.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Butterhead Lettuce - Hydroponically Grown With Live Roots,₹63,₹86.3,"https://www.bigbasket.com/media/uploads/p/m/40198822_1-fresho-butterhead-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Muskmelon - Diced,₹54,₹73.97,"https://www.bigbasket.com/media/uploads/p/m/40005854_14-fresho-muskmelon-diced.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Chinese Cabbage,₹150,₹205.48,"https://www.bigbasket.com/media/uploads/p/m/40200232_1-fresho-chinese-cabbage.jpg?tr=w-3840,q=80"
